rank_estrategico,notebook,family,pair_key,pipeline,classifier_model,regressor_model,mae_vs_real,rmse_vs_real,bias_medio,abs_bias_medio,wape_vs_real,total_real_comprado,total_modelo_indicado,gap_total_quantidade,gap_total_percentual,valor_real_comprado,valor_modelo_indicado,gap_total_valor,taxa_itens_com_recomendacao,taxa_itens_com_compra_real,over_recommendation_rate,under_recommendation_rate,mae_vs_alvo_abt,rmse_vs_alvo_abt,r2_vs_alvo_abt,f1_score,classification_accuracy,target_rmse,target_mae,target_r2
1,01_knn,Distancia,knn,Distancia - Knn,KNN Classifier,KNN Regressor,8.584273052180128,85.58287764402841,4.428521801286633,4.428521801286633,3.9452194749211404,15220.19,46197.7,30977.509999999995,2.035290623835839,205946.34688333332,512953.1673333333,307006.82045,0.22573266619013582,0.058041458184417444,0.22230164403145103,0.04974982130092923,3.86108649035025,57.69875192989302,0.7193005550349482,0.8698630136986302,0.9402430307362402,98.5818443876249,14.787691365584816,0.8049097312122906
2,01_knn,Distancia,xgboost,Distancia - Xgboost,XGBoost Classifier,XGBoost Regressor,9.739158236561352,98.62927185711824,5.647982444397609,5.647982444397609,4.47598958125665,15220.19,54727.82719856128,39507.63719856128,2.595738765321673,205946.34688333332,638189.3016983208,432242.9548149875,0.24102930664760544,0.058041458184417444,0.23802716225875625,0.04874910650464617,2.4124027177270735,33.987747367022045,0.9026012286238834,0.9478758662247664,0.9752680486061472,84.36932268926955,11.155199571946648,0.8571070329886517
3,02_linear,Linear,xgboost,Linear - Xgboost,XGBoost Classifier,XGBoost Regressor,9.739158236561352,98.62927185711824,5.647982444397609,5.647982444397609,4.47598958125665,15220.19,54727.82719856128,39507.63719856128,2.595738765321673,205946.34688333332,638189.3016983208,432242.9548149875,0.24102930664760544,0.058041458184417444,0.23802716225875625,0.04874910650464617,2.4124027177270735,33.987747367022045,0.9026012286238834,0.9478758662247664,0.9752680486061472,84.36932268926955,11.155199571946648,0.8571070329886517
4,03_tree_ensembles,Arvores,xgboost,Arvores - Xgboost,XGBoost Classifier,XGBoost Regressor,9.739158236561352,98.62927185711824,5.647982444397609,5.647982444397609,4.47598958125665,15220.19,54727.82719856128,39507.63719856128,2.595738765321673,205946.34688333332,638189.3016983208,432242.9548149875,0.24102930664760544,0.058041458184417444,0.23802716225875625,0.04874910650464617,2.4124027177270735,33.987747367022045,0.9026012286238834,0.9478758662247664,0.9752680486061472,84.36932268926955,11.155199571946648,0.8571070329886517
5,03_tree_ensembles,Arvores,random_forest,Arvores - Random Forest,Random Forest Classifier,Random Forest Regressor,9.776943531093638,96.05657939075822,5.699827019299499,5.699827019299499,4.493355207786499,15220.19,55090.479999999996,39870.28999999999,2.619565852988694,205946.34688333332,630801.7302999999,424855.38341666665,0.23602573266619015,0.058041458184417444,0.23316654753395283,0.04832022873481058,2.676283059328091,40.08449334590264,0.8645242659220564,0.9561510353227772,0.9794138670478914,91.799715471871,12.161769748928354,0.8308295911344244
6,03_tree_ensembles,Arvores,gradient_boosting,Arvores - Gradient Boosting,Gradient Boosting Classifier,Gradient Boosting Regressor,10.13860549633444,105.76621353285127,6.0475162050169535,6.0475162050169535,4.6595703106767665,15220.19,57522.565854093584,42302.37585409358,2.7793592493979102,205946.34688333332,628328.0452807348,422381.6983974015,0.2357398141529664,0.058041458184417444,0.234024303073624,0.04746247319513938,2.499016778644783,33.180474473197016,0.907173088773712,0.95551492992078,0.9791279485346676,70.96078711084199,10.884256193218386,0.8989168942695872
7,01_knn,Distancia,gradient_boosting,Distancia - Gradient Boosting,Gradient Boosting Classifier,Gradient Boosting Regressor,10.158587564511112,106.41569903214624,6.067498273193625,6.067498273193625,4.668753807525086,15220.19,57662.34042098941,42442.150420989405,2.7885427462462298,205946.34688333332,628231.9857452156,422285.63886188227,0.2357398141529664,0.058041458184417444,0.234024303073624,0.04746247319513938,2.492953667720979,32.9340595734215,0.9085467278018465,0.95551492992078,0.9791279485346676,70.55490126495012,10.866621935357427,0.9000699498015922
8,02_linear,Linear,gradient_boosting,Linear - Gradient Boosting,Gradient Boosting Classifier,Gradient Boosting Regressor,10.161690956205481,106.28969876658971,6.070601664887997,6.070601664887997,4.670180085705719,15220.19,57684.048645891526,42463.85864589152,2.7899690244268647,205946.34688333332,628462.0759979269,422515.7291145936,0.2357398141529664,0.058041458184417444,0.234024303073624,0.04746247319513938,2.477439840502121,32.781747333562286,0.9093906712875869,0.95551492992078,0.9791279485346676,71.2215239861105,10.88435338681444,0.8981726941175778
9,02_linear,Linear,linear,Linear - Linear,Logistic Regression,Linear Regression,10.186655083798263,101.59177105799392,6.195675427547668,6.195675427547668,4.681653271816504,15220.19,58558.939615695934,43338.74961569593,2.847451287776035,205946.34688333332,649949.7594770129,444003.4125936796,0.17769835596854897,0.058041458184417444,0.17598284488920657,0.05089349535382416,3.8291940179461554,44.49085986804027,0.8331023143563513,0.8640776699029126,0.9399571122230164,91.84995991253588,16.470480210498774,0.8306443574737178
