rank,notebook,family,stage,model,artifact_path,prediction_path,f1_score,precision,recall,accuracy,roc_auc,warnings
1,03_tree_ensembles,Arvores,classification,Random Forest Classifier,ml/artifacts/two_stage/03_tree_ensembles_random_forest_classifier_classifier.pkl,ml/artifacts/two_stage/metrics/03_tree_ensembles_random_forest_classifier_classification_predictions.csv,0.9561510353227772,0.9509388249545728,0.9614206981016534,0.9794138670478914,0.9956219322976112,
2,01_knn,Distancia,classification,Gradient Boosting Classifier,ml/artifacts/two_stage/01_knn_gradient_boosting_classifier_classifier.pkl,ml/artifacts/two_stage/metrics/01_knn_gradient_boosting_classifier_classification_predictions.csv,0.95551492992078,0.9508793208004852,0.9601959583588487,0.9791279485346676,0.9963549602759024,
3,02_linear,Linear,classification,Gradient Boosting Classifier,ml/artifacts/two_stage/02_linear_gradient_boosting_classifier_classifier.pkl,ml/artifacts/two_stage/metrics/02_linear_gradient_boosting_classifier_classification_predictions.csv,0.95551492992078,0.9508793208004852,0.9601959583588487,0.9791279485346676,0.996365809798055,
4,03_tree_ensembles,Arvores,classification,Gradient Boosting Classifier,ml/artifacts/two_stage/03_tree_ensembles_gradient_boosting_classifier_classifier.pkl,ml/artifacts/two_stage/metrics/03_tree_ensembles_gradient_boosting_classifier_classification_predictions.csv,0.95551492992078,0.9508793208004852,0.9601959583588487,0.9791279485346676,0.996365809798055,
5,01_knn,Distancia,classification,XGBoost Classifier,ml/artifacts/two_stage/01_knn_xgboost_classifier_classifier.pkl,ml/artifacts/two_stage/metrics/01_knn_xgboost_classifier_classification_predictions.csv,0.9478758662247664,0.9329774614472124,0.9632578077158604,0.9752680486061472,0.996240697676809,
6,02_linear,Linear,classification,XGBoost Classifier,ml/artifacts/two_stage/02_linear_xgboost_classifier_classifier.pkl,ml/artifacts/two_stage/metrics/02_linear_xgboost_classifier_classification_predictions.csv,0.9478758662247664,0.9329774614472124,0.9632578077158604,0.9752680486061472,0.996240697676809,
7,03_tree_ensembles,Arvores,classification,XGBoost Classifier,ml/artifacts/two_stage/03_tree_ensembles_xgboost_classifier_classifier.pkl,ml/artifacts/two_stage/metrics/03_tree_ensembles_xgboost_classifier_classification_predictions.csv,0.9478758662247664,0.9329774614472124,0.9632578077158604,0.9752680486061472,0.996240697676809,
8,01_knn,Distancia,classification,KNN Classifier,ml/artifacts/two_stage/01_knn_knn_classifier_classifier.pkl,ml/artifacts/two_stage/metrics/01_knn_knn_classifier_classification_predictions.csv,0.8698630136986302,0.8847371754274858,0.8554807103490508,0.9402430307362402,0.962208202101701,
9,02_linear,Linear,classification,Logistic Regression,ml/artifacts/two_stage/02_linear_logistic_regression_classifier.pkl,ml/artifacts/two_stage/metrics/02_linear_logistic_regression_classification_predictions.csv,0.8640776699029126,0.9162663006177076,0.8175137783221066,0.9399571122230164,0.9834415734959192,"ConvergenceWarning: lbfgs failed to converge after 100 iteration(s) (status=1):
STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT

Increase the number of iterations to improve the convergence (max_iter=100).
You might also want to scale the data as shown in:
    https://scikit-learn.org/stable/modules/preprocessing.html
Please also refer to the documentation for alternative solver options:
    https://scikit-learn.org/stable/modules/linear_model.html#logistic-regression"
