rank,notebook,family,stage,model,artifact_path,prediction_path,rmse,mae,r2,warnings
1,01_knn,Distancia,regression,Gradient Boosting Regressor,ml/artifacts/two_stage/01_knn_gradient_boosting_regressor_regressor.pkl,ml/artifacts/two_stage/metrics/01_knn_gradient_boosting_regressor_regression_predictions.csv,70.55490126495012,10.866621935357427,0.9000699498015922,
2,03_tree_ensembles,Arvores,regression,Gradient Boosting Regressor,ml/artifacts/two_stage/03_tree_ensembles_gradient_boosting_regressor_regressor.pkl,ml/artifacts/two_stage/metrics/03_tree_ensembles_gradient_boosting_regressor_regression_predictions.csv,70.96078711084199,10.884256193218386,0.8989168942695872,
3,02_linear,Linear,regression,Gradient Boosting Regressor,ml/artifacts/two_stage/02_linear_gradient_boosting_regressor_regressor.pkl,ml/artifacts/two_stage/metrics/02_linear_gradient_boosting_regressor_regression_predictions.csv,71.2215239861105,10.88435338681444,0.8981726941175778,
4,01_knn,Distancia,regression,XGBoost Regressor,ml/artifacts/two_stage/01_knn_xgboost_regressor_regressor.pkl,ml/artifacts/two_stage/metrics/01_knn_xgboost_regressor_regression_predictions.csv,84.36932268926955,11.155199571946648,0.8571070329886517,
5,02_linear,Linear,regression,XGBoost Regressor,ml/artifacts/two_stage/02_linear_xgboost_regressor_regressor.pkl,ml/artifacts/two_stage/metrics/02_linear_xgboost_regressor_regression_predictions.csv,84.36932268926955,11.155199571946648,0.8571070329886517,
6,03_tree_ensembles,Arvores,regression,XGBoost Regressor,ml/artifacts/two_stage/03_tree_ensembles_xgboost_regressor_regressor.pkl,ml/artifacts/two_stage/metrics/03_tree_ensembles_xgboost_regressor_regression_predictions.csv,84.36932268926955,11.155199571946648,0.8571070329886517,
7,03_tree_ensembles,Arvores,regression,Random Forest Regressor,ml/artifacts/two_stage/03_tree_ensembles_random_forest_regressor_regressor.pkl,ml/artifacts/two_stage/metrics/03_tree_ensembles_random_forest_regressor_regression_predictions.csv,91.799715471871,12.161769748928354,0.8308295911344244,
8,02_linear,Linear,regression,Linear Regression,ml/artifacts/two_stage/02_linear_linear_regression_regressor.pkl,ml/artifacts/two_stage/metrics/02_linear_linear_regression_regression_predictions.csv,91.84995991253588,16.470480210498774,0.8306443574737178,
9,01_knn,Distancia,regression,KNN Regressor,ml/artifacts/two_stage/01_knn_knn_regressor_regressor.pkl,ml/artifacts/two_stage/metrics/01_knn_knn_regressor_regression_predictions.csv,98.5818443876249,14.787691365584816,0.8049097312122906,
